# FORMAT : THEME|QUESTION|REPONSE_A|REPONSE_B|REPONSE_C|REPONSE_D|BONNE_REPONSE(A/B/C/D)

[Language]
Language|Quel est le mot correct pour "se dépêcher" en français soutenu ?|Se hâter|Se grouiller|Se magner|Se bouger|A
Language|Quelle est la figure de style dans "le soleil se couche" ?|Métaphore|Personnification|Allitération|Hyperbole|B
Language|Combien de lettres compte l'alphabet français ?|24|25|26|27|C
Language|Quel est le pluriel correct de "oeil" ?|Oeils|Oeillets|Yeux|Oeux|C
Language|Quelle langue est la plus parlée dans le monde ?|Anglais|Espagnol|Mandarin|Hindi|C
Language|Quel est l'antonyme de "belliqueux" ?|Pacifique|Violent|Agressif|Hostile|A
Language|Dans quelle langue est écrit "Don Quichotte" à l'origine ?|Portugais|Espagnol|Latin|Italien|B
Language|Que signifie le préfixe "poly" ?|Un|Deux|Plusieurs|Aucun|C
Language|Quel est le féminin de "canard" ?|Canarde|Canne|Cane|Canette|C
Language|Quelle est la langue officielle du Brésil ?|Espagnol|Portugais|Français|Brésilien|B
Language|Lequel de ces mots est un palindrome ?|Rêve|Radar|Repas|Remue|B
Language|Quel temps est utilisé dans "Si j'avais su, je serais venu" ?|Futur antérieur|Conditionnel présent / Imparfait|Subjonctif présent|Passé composé|B
Language|Que désigne un "oxymore" ?|Une répétition|Deux mots de même sens|Deux termes contradictoires|Un jeu de mots|C
Language|Quel est le nom du point "!" ?|Point exclamatif|Point d'emphase|Point d'alerte|Point fort|A
Language|Combien de voyelles compte la langue française ?|4|5|6|7|C
Language|Que signifie "Carpe Diem" ?|Profite du jour présent|Mange le poisson|Travaille dur|Respecte les anciens|A
Language|Quel écrivain a dit "Je pense donc je suis" ?|Voltaire|Descartes|Pascal|Rousseau|B
Language|Comment appelle-t-on une phrase sans verbe ?|Phrase elliptique|Phrase nominale|Phrase simple|Phrase muette|B
Language|Quel est le contraire de "épiphore" en rhétorique ?|Anaphore|Métonymie|Synecdoque|Antithèse|A
Language|Quelle langue utilise l'alphabet cyrillique ?|Grec|Arabe|Russe|Turc|C

[Geo]
Geo|Quelle est la capitale de l'Australie ?|Sydney|Melbourne|Canberra|Brisbane|C
Geo|Quel est le plus grand océan du monde ?|Atlantique|Indien|Arctique|Pacifique|D
Geo|Dans quel pays se trouve le Machu Picchu ?|Colombie|Pérou|Bolivie|Équateur|B
Geo|Quel est le plus long fleuve d'Afrique ?|Niger|Congo|Zambèze|Nil|D
Geo|Combien de pays composent l'Amérique du Sud ?|10|11|12|13|C
Geo|Quelle mer sépare l'Europe de l'Afrique à l'ouest ?|Mer Rouge|Mer Noire|Mer Méditerranée|Mer Caspienne|C
Geo|Quel est le pays le plus peuplé du monde en 2024 ?|Chine|États-Unis|Inde|Indonésie|C
Geo|Dans quel pays se trouve le mont Kilimandjaro ?|Kenya|Tanzanie|Ouganda|Éthiopie|B
Geo|Quelle est la superficie de la Russie en millions de km² (approx.) ?|10|14|17|20|C
Geo|Quel détroit sépare l'Espagne du Maroc ?|Détroit de Malacca|Détroit de Gibraltar|Détroit de Béring|Détroit de Magellan|B
Geo|Quelle est la capitale du Canada ?|Toronto|Vancouver|Montréal|Ottawa|D
Geo|Dans quel continent se trouve Madagascar ?|Asie|Amérique|Afrique|Océanie|C
Geo|Quel pays possède le plus grand nombre de fuseaux horaires ?|Russie|États-Unis|France|Chine|C
Geo|Quelle est la plus haute montagne du monde ?|K2|Mont Blanc|Everest|Aconcagua|C
Geo|Quel fleuve traverse Paris ?|La Loire|Le Rhône|La Seine|La Garonne|C
Geo|Combien de pays partagent une frontière avec la France ?|7|8|9|10|B
Geo|Quelle ville est surnommée "La Sérénissime" ?|Florence|Venise|Naples|Gênes|B
Geo|Dans quel pays se trouve l'Amazonie en majorité ?|Colombie|Pérou|Venezuela|Brésil|D
